city,grnd_level,humidity,pressure,sea_level,temp,temp_max,temp_min,deg,gust,speed,lat,lng
okakarara,839.85,12,1005.6,1005.6,32.25,32.25,32.25,303.733,,0.74,-20.40676792220519,17.249902237827342
kaeo,,100,1022.0,,12.48,13.33,11.67,205.154,,0.98,-28.45047348501531,175.29628003696388
meadow lake,,60,1001.0,,5.0,5.0,5.0,210.0,,2.1,54.46525047807668,-109.0951099857101
tianpeng,1019.18,62,1022.79,1022.79,18.55,18.55,18.55,316.542,,2.5,31.780834493246445,103.61584170798955
ixtapa,,94,1010.0,,27.38,28.89,26.0,40.0,,2.1,0.5200339644025576,-111.0331074677512
luwingu,870.62,27,1005.37,1005.37,29.55,29.55,29.55,201.87,,1.39,-9.864811067550534,30.09650326693088
petropavlovsk-kamchatskiy,,64,1019.0,,3.0,3.0,3.0,,,1.0,51.60090610360473,162.71892231927575
talnakh,,95,1013.0,,0.0,0.0,0.0,270.0,,2.0,74.17415717655282,90.06339348330158
broome,,76,1013.0,,13.93,15.0,12.78,180.0,,3.6,-16.70292645634558,123.99760977594593
denham springs,,78,1017.0,,26.56,28.89,24.0,40.0,,2.1,30.477555739774516,-90.85070252968217
porto novo,,73,1018.0,,22.0,22.0,22.0,30.0,,1.5,13.9205140886354,-38.14713057366299
klyuchi,1005.57,59,1021.18,1021.18,15.15,15.15,15.15,54.007,,3.93,56.493336370643476,161.67637623227046
esso,896.49,93,1017.13,1017.13,-7.76,-7.76,-7.76,255.884,,6.1,55.48526720701389,158.89400437483818
leningradskiy,1010.01,80,1014.03,1014.03,-2.66,-2.66,-2.66,136.309,,6.35,70.7562476072261,179.0627892341917
wattegama,976.99,94,1011.27,1011.27,22.75,22.75,22.75,186.138,,1.09,4.116322421021309,85.76303998634523
manawar,964.88,77,1012.84,1012.84,25.05,25.05,25.05,19.493,,2.35,22.170514777166204,75.1666792180551
hobyo,1001.21,69,1008.62,1008.62,27.95,27.95,27.95,180.143,,6.79,4.336565507333432,51.54513425010657
thompson,,92,1007.0,,-2.0,-2.0,-2.0,,,1.0,54.67211939630178,-98.57773520177965
flin flon,,75,1004.0,,6.0,6.0,6.0,170.0,,4.6,58.32131360743779,-102.37134642084524
coquimbo,,72,1016.0,,25.43,31.67,16.0,270.0,,4.1,-27.559513529156746,-84.67285547266694
huarmey,1014.32,89,1015.18,1015.18,15.95,15.95,15.95,168.286,,6.32,-14.95672319326026,-89.62474682212031
longyearbyen,,75,1017.0,,5.0,5.0,5.0,220.0,,4.6,82.82984674639377,20.617016686772928
praia,,51,1020.0,,27.96,29.0,27.0,100.0,,5.1,11.544283074261799,-23.02443292958361
katangli,1005.39,77,1012.09,1012.09,7.55,7.55,7.55,222.958,,7.36,52.6226300255839,145.1221165761279
cherskiy,1012.35,89,1013.48,1013.48,-7.76,-7.76,-7.76,26.881,,4.39,73.60386181689049,161.32978138283636
mount gambier,,93,1015.0,,7.0,7.0,7.0,270.0,,3.1,-38.68135239559829,138.64760678585736
narsaq,,36,1005.0,,9.0,9.0,9.0,30.0,,5.1,85.00175497094895,-65.18689951532814
la rioja,872.57,30,1011.39,1011.39,21.75,21.75,21.75,106.068,,3.21,-28.22023469606365,-67.74887765746293
coracao de maria,990.77,68,1015.98,1015.98,26.85,26.85,26.85,76.996,,3.16,-12.369336106935563,-38.69440519364696
iqaluit,,93,995.0,,1.83,2.0,1.67,150.0,,3.1,58.99091949506982,-66.7606219691463
ketchikan,,93,1006.0,,7.04,8.0,6.0,303.079,,5.15,54.65708276299151,-133.6309191325227
